R1(O),R2(O),R3(O),R4(O),Angle1(deg),Angle2(deg)
126.2,320.84,289.05,161.88,70.02,83.73
126.2,320.72,289.05,161.52,70.02,83.73
126.2,320.72,289.05,161.47,69.82,83.73
126.2,320.59,289.15,161.43,70.02,83.73
126.2,320.59,289.15,161.38,70.02,83.73
126.2,320.59,289.15,161.38,70.02,83.73
126.2,320.59,289.15,161.38,69.74,83.73
126.2,320.47,289.15,161.33,69.74,83.73
126.2,320.47,289.15,161.33,69.74,83.73
126.2,320.59,289.15,161.29,69.82,83.73
126.2,320.47,289.15,161.29,69.67,83.97
126.2,320.35,289.15,161.29,69.67,83.97
126.2,320.35,289.15,161.24,69.74,83.97
126.2,320.23,289.15,161.29,69.74,83.97
126.2,320.11,289.15,161.33,69.74,83.97
126.2,320.11,289.15,161.33,69.74,83.97
126.2,320.11,289.15,161.66,69.74,83.97
126.2,319.98,289.15,161.66,69.74,83.97
126.2,319.98,289.05,161.66,69.74,83.97
126.2,319.86,289.05,161.66,69.74,83.97
126.2,319.74,289.05,161.66,69.74,83.97
126.2,319.62,289.05,161.66,69.74,83.97
126.2,319.62,289.05,161.7,69.74,83.97
126.2,319.5,289.05,161.75,69.67,83.97
126.2,319.38,289.05,161.79,69.67,83.97
126.2,319.38,289.05,161.79,69.74,83.95
126.2,319.38,289.05,161.79,69.67,83.75
126.2,319.5,289.05,161.79,69.67,83.75
126.2,319.62,289.05,161.79,69.67,83.75
126.2,319.62,289.05,161.79,69.67,83.75
126.16,319.62,289.05,161.79,69.67,83.75
126.16,319.62,289.05,161.79,69.67,83.75
126.13,319.62,289.05,161.84,69.67,83.75
126.13,319.74,289.05,161.88,69.74,83.73
126.13,319.74,289.05,161.93,69.67,83.75
126.13,319.74,289.05,161.88,69.74,83.92
126.13,319.86,289.05,161.93,69.47,83.95
126.13,319.86,289.05,161.93,69.47,83.95
126.13,319.86,289.05,161.98,69.54,83.92
126.13,319.86,289.05,162.02,69.47,83.95
126.13,319.86,289.05,162.07,69.47,83.95
126.13,319.86,289.05,162.11,69.47,83.95
126.13,319.74,289.05,162.16,69.62,83.92
126.13,319.62,289.05,162.16,69.54,83.95
