Time(s),R1(O),R2(O),R3(O),R4(O),Angle1(deg),Angle2(deg)
1734287242.9775586,63.14,57.0,63.96,64.28,-3.0,7.72
1734287243.1094875,62.91,56.92,63.93,64.11,-3.85,7.66
1734287243.2299805,62.89,56.73,63.67,64.07,-3.85,7.66
1734287243.3613167,62.57,56.5,63.64,64.3,-3.85,7.66
1734287243.4857254,62.43,56.61,63.84,64.42,-3.37,7.18
1734287243.6138496,62.79,56.69,63.91,64.45,-3.37,7.18
1734287243.729818,62.98,56.73,63.9,64.23,-3.37,7.18
1734287243.8630235,62.99,56.92,63.54,63.92,-3.37,6.71
1734287243.9829235,62.96,56.7,63.26,63.76,-3.37,6.71
1734287244.1127615,62.69,56.59,63.57,63.99,-3.85,6.71
1734287244.23535,62.64,56.8,63.59,63.85,-3.85,6.71
1734287244.3629253,62.82,56.73,63.42,63.85,-4.32,6.71
1734287244.4840002,62.67,56.66,63.37,63.8,-4.8,6.71
1734287244.6130135,62.57,56.48,63.28,63.73,-3.84,6.23
1734287244.735816,62.57,56.48,63.01,63.87,-4.32,6.23
1734287244.8587174,62.3,56.58,63.13,64.07,-4.32,6.23
1734287244.976533,62.42,56.78,63.6,64.11,-4.8,6.23
1734287245.1126714,62.65,56.87,63.86,64.07,-4.8,6.23
1734287245.229338,62.59,56.86,64.07,64.3,-4.8,6.23
1734287245.361543,62.69,56.87,63.9,64.23,-3.85,5.76
1734287245.47804,62.76,56.69,63.83,64.17,-4.33,5.76
1734287245.5973797,62.52,56.62,63.72,64.12,-4.33,5.76
1734287245.7347867,62.49,56.62,63.69,64.11,-4.33,5.76
1734287245.84402,62.47,56.8,63.74,64.35,-4.81,5.76
1734287245.9811664,62.45,56.98,63.84,64.04,-5.29,5.76
1734287246.0966463,62.67,57.0,63.84,63.97,-5.29,5.76
1734287246.2343411,62.27,56.94,63.81,64.17,-4.33,5.28
1734287246.357705,62.12,56.9,63.79,64.16,-4.81,5.28
1734287246.484655,62.3,56.87,63.79,64.16,-4.81,5.28
